Value,Category
Gallstone ileus,Hepatobiliary or abdominal
Gallstones with biliary obstru,Hepatobiliary or abdominal
Gangrene,Sepsis and septic shock
Gangrenous toe,Sepsis and septic shock
Gastric adenocarcinoma,Cancer
Gastric perforation,Hepatobiliary or abdominal
Gastric ulcer,Bleeding
Gastric ulcer with hemorrhage,Bleeding
"Gastric ulcer, acute with perf",Bleeding
Gastroenteritis,Sepsis and septic shock
Gastrointestinal hemorrhage wi,Bleeding
Generalized scleroderma,Unspecified / Other
Germ cell tumor of testis,Cancer
Glioma,Cancer
Gluteal abscess,Sepsis and septic shock
Gram-positive bacteremia,Sepsis and septic shock
Gross hematuria,Bleeding
Group A streptococcal infectio,Sepsis and septic shock
Group G streptococcal infectio,Sepsis and septic shock
H/O abdominal aortic aneurysm,Peripheral vascular disease
H/O cardiac arrest,Cardiac arrest
H/O penetrating abdominal trau,Trauma
H/O umbilical hernia repair,Hepatobiliary or abdominal
HAP (hospital-acquired pneumon,Pneumonia
HH (hiatus hernia),Hepatobiliary or abdominal
Hanging,Trauma
Head and neck cancer,Cancer
Heart failure with acute decom,Congestive heart failure or other cardiac problem not due to acute ischemia
"Heart failure, diastolic, due",Congestive heart failure or other cardiac problem not due to acute ischemia
Hemorrhage following nephrecto,Bleeding
"Hemorrhage, tonsil, postoperat",Bleeding
"Hemothorax, traumatic",Bleeding
Hepatic abscess,Hepatobiliary or abdominal
Hepatic cirrhosis,Hepatobiliary or abdominal
Hepatic dysfunction,Hepatobiliary or abdominal
Hepatitis,Hepatobiliary or abdominal
Hepatoma,Hepatobiliary or abdominal
Hepatorenal syndrome,Renal failure or other metabolic problem
Hernia of abdominal wall,Hepatobiliary or abdominal
"Hernia, inguinal",Hepatobiliary or abdominal
Herpes zoster encephalitis,"Encephalopathy, neuropathy, or seizures"
Hiatus hernia with obstruction,Hepatobiliary or abdominal
High anion gap metabolic acido,Renal failure or other metabolic problem
High degree atrioventricular b,Congestive heart failure or other cardiac problem not due to acute ischemia
High-grade atrioventricular bl,Congestive heart failure or other cardiac problem not due to acute ischemia
Hospital acquired PNA,Pneumonia
Humeral surgical neck fracture,Trauma
Hungry bone syndrome,Renal failure or other metabolic problem
Hypercapnemia,Respiratory failure
Hypercapnia,Respiratory failure
Hypercapnic acidosis,Respiratory failure
Hypercarbia,Respiratory failure
Hyperemesis complicating pregn,Unspecified / Other
Hyperparathyroidism due to ren,Renal failure or other metabolic problem
Hypertension,Congestive heart failure or other cardiac problem not due to acute ischemia
Hypertensive crisis,Congestive heart failure or other cardiac problem not due to acute ischemia
Hypotension due to drugs,Sepsis and septic shock
Hypovolaemic shock,Sepsis and septic shock
Hypovolemic shock,Sepsis and septic shock
IIH (idiopathic intracranial h,"Encephalopathy, neuropathy, or seizures"
IPF (idiopathic pulmonary fibr,Respiratory failure
Idiopathic acute pancreatitis,Hepatobiliary or abdominal
"Ileus, postoperative",Hepatobiliary or abdominal
Incarcerated femoral hernia,Hepatobiliary or abdominal
Incarcerated inguinal hernia,Hepatobiliary or abdominal
Incarcerated ventral hernia,Hepatobiliary or abdominal
Infection due to Streptococcus,Sepsis and septic shock
Inhalation burn,Respiratory failure
"Injury, aorta, abdominal",Peripheral vascular disease
Insulin overdose,Overdose / substance abuse
Intentional drug overdose,Overdose / substance abuse
Interstitial lung disease,Respiratory failure
Interstitial pneumonia of both,Pneumonia
Intra-abdominal abscess,Sepsis and septic shock
Intra-abdominal infection,Sepsis and septic shock
Intraabdominal fluid collectio,Sepsis and septic shock
Intracerebral bleed,Ischemic and hemorrhagic stroke
"Intracerebral haemorrhage, uns",Ischemic and hemorrhagic stroke
Intrahepatic bile duct dilatio,Hepatobiliary or abdominal
Intraventricular hemorrhage,Ischemic and hemorrhagic stroke
Ischemia of digits of hand,Peripheral vascular disease
Ischemia of hand,Peripheral vascular disease
Ischemic colitis,Peripheral vascular disease
Ischemic necrosis of small bow,Peripheral vascular disease
Ischiorectal abscess,Sepsis and septic shock
Ketoacidosis due to type 2 dia,Renal failure or other metabolic problem
LRTI (lower respiratory tract,Pneumonia
LV dysfunction,Congestive heart failure or other cardiac problem not due to acute ischemia
Large bowel anastomotic leak,Hepatobiliary or abdominal
Large bowel ischemia,Peripheral vascular disease
Laryngeal cancer,Cancer
Laryngeal neoplasm,Cancer
Laryngitis,Respiratory failure
Left hip pain,Unspecified / Other
Left leg weakness,"Encephalopathy, neuropathy, or seizures"
Left patella fracture,Trauma
Leg edema,Congestive heart failure or other cardiac problem not due to acute ischemia
Legionella pneumonia,Pneumonia
Leptomeningeal metastases,Cancer
Lesion of pancreas,Cancer
Lethargy,Unspecified / Other
Limb ischemia,Peripheral vascular disease
Listeria sepsis,Sepsis and septic shock
Lithium toxicity,Overdose / substance abuse
"Liver failure, acute",Hepatobiliary or abdominal
Liver hemorrhage,Bleeding
Lower GI bleed requiring more,Bleeding
Lower back pain,Unspecified / Other
Lower extremity edema,Congestive heart failure or other cardiac problem not due to acute ischemia
Lower extremity paralysis,"Encephalopathy, neuropathy, or seizures"
Lower gastrointestinal bleed,Bleeding
"Lung cancer, primary, with met",Cancer
Lymphadenopathy,Unspecified / Other
Lymphoma of lymph nodes in che,Cancer
Lymphoproliferative disorder,Cancer
MI (myocardial infarction),Acute coronary syndromes
MRSA bacteremia,Sepsis and septic shock
MSSA (methicillin susceptible,Sepsis and septic shock
Malignant hypertension,Congestive heart failure or other cardiac problem not due to acute ischemia
Malignant melanoma,Cancer
Malignant neoplasm metastatic,Cancer
Malignant neoplasm of left voc,Cancer
Malignant neoplasm of right co,Cancer
Malignant neoplasm of sigmoid,Cancer
Malignant neoplasm of splenic,Cancer
"Malignant neoplasm upper lobe,",Cancer
Mass of lingula of lung,Cancer
Mastoiditis,Sepsis and septic shock
Melena,Bleeding
Meningioma,Cancer
Meningoencephalitis,Sepsis and septic shock
Menorrhagia,Bleeding
Mesenteric artery vascular emb,Peripheral vascular disease
Mesenteric ischemia,Peripheral vascular disease
"Metabolic acidosis, increased",Renal failure or other metabolic problem
Metastasis from breast cancer,Cancer
Metastatic colon cancer to liv,Cancer
Metastatic lung carcinoma,Cancer
Metformin overdose,Overdose / substance abuse
Methanol poisoning,Overdose / substance abuse
Mood disorder,Unspecified / Other
Motor vehicle accident,Trauma
Multifocal motor neuropathy,"Encephalopathy, neuropathy, or seizures"
Multiple fractures of ribs,Trauma
Multiple myeloma in relapse,Cancer
Multiple organ failure,Unspecified / Other
Multiple rib fractures,Trauma
Multisystem organ failure,Unspecified / Other
Myasthenia,"Encephalopathy, neuropathy, or seizures"
Myasthenia gravis with acute e,"Encephalopathy, neuropathy, or seizures"
Myocardial infarction,Acute coronary syndromes
Myocardial ischemia,Acute coronary syndromes
Myopathy,"Encephalopathy, neuropathy, or seizures"
NMS (neuroleptic malignant syn,Overdose / substance abuse
NSCLC metastatic to liver,Cancer
NSCLC of left lung,Cancer
Narcotic abuse,Overdose / substance abuse
Narcotic-induced respiratory d,Overdose / substance abuse
Nausea,Hepatobiliary or abdominal
Nausea & vomiting,Hepatobiliary or abdominal
Nausea and vomiting,Hepatobiliary or abdominal
"Nausea, vomiting and diarrhea",Hepatobiliary or abdominal
Neck mass,Unspecified / Other
Necrotizing fasciitis of pelvi,Sepsis and septic shock
Necrotizing pancreatitis,Sepsis and septic shock
Necrotizing pneumonia,Pneumonia
Neurologic abnormality,"Encephalopathy, neuropathy, or seizures"
Neurologic disorder,"Encephalopathy, neuropathy, or seizures"
Neuromuscular disease,"Encephalopathy, neuropathy, or seizures"
Non Hodgkin's lymphoma,Cancer
Non-STEMI (non-ST elevated myo,Acute coronary syndromes
Non-convulsive seizure disorde,"Encephalopathy, neuropathy, or seizures"
Non-convulsive status epilepti,"Encephalopathy, neuropathy, or seizures"
Nonischemic cardiomyopathy,Congestive heart failure or other cardiac problem not due to acute ischemia
Normal delivery,Unspecified / Other
Nutrition disorder,Unspecified / Other
Observation for suspected toxi,Overdose / substance abuse
Obstruction of bile duct,Hepatobiliary or abdominal
Obstruction of bowel,Hepatobiliary or abdominal
Obstructive uropathy,Renal failure or other metabolic problem
Open fracture humerus shaft,Trauma
Open fracture of right distal,Trauma
Open leg wound,Trauma
Opiate overdose,Overdose / substance abuse
Osteomyelitis of ankle and foo,Sepsis and septic shock
Other acute pancreatitis,Hepatobiliary or abdominal
Overdose by acetaminophen,Overdose / substance abuse
Overdose of calcium-channel bl,Overdose / substance abuse
Overdose of opiate or related,Overdose / substance abuse
Oxygen desaturation,Respiratory failure
PCP (pneumocystis carinii pneu,Pneumonia
PE (pulmonary thromboembolism),Congestive heart failure or other cardiac problem not due to acute ischemia
PM (polymyositis),"Encephalopathy, neuropathy, or seizures"
PRES (posterior reversible enc,"Encephalopathy, neuropathy, or seizures"
Palpitations,Congestive heart failure or other cardiac problem not due to acute ischemia
Pancreatic mass,Hepatobiliary or abdominal
Pancreatic pseudocyst,Hepatobiliary or abdominal
Paraesophageal hernia with gan,Sepsis and septic shock
Parainfluenza,Pneumonia
Parainfluenza virus infection,Pneumonia
Parapneumonic effusion,Pneumonia
Parotiditis,Sepsis and septic shock
Partial gastric outlet obstruc,Hepatobiliary or abdominal
Partial small bowel obstructio,Hepatobiliary or abdominal
Pathologic fracture of femur,Cancer
Pelvic hematoma,Bleeding
Pelvic mass,Hepatobiliary or abdominal
Perforated appendicitis,Hepatobiliary or abdominal
Perforated appendix,Hepatobiliary or abdominal
Perforated diverticulum,Hepatobiliary or abdominal
Perforated gallbladder,Hepatobiliary or abdominal
Perforated peptic ulcer,Bleeding
Perforation of colon,Hepatobiliary or abdominal
Perforation of rectum,Hepatobiliary or abdominal
"Pericardial effusion, acute",Congestive heart failure or other cardiac problem not due to acute ischemia
Perineal gangrene,Sepsis and septic shock
Peritonsillar abscess,Sepsis and septic shock
Peritonsillar cellulitis,Sepsis and septic shock
Pharyngeal edema,Respiratory failure
Pheochromocytoma,Cancer
Pleural effusion on right,Respiratory failure
"Pleural effusion, bilateral",Respiratory failure
Pneumonia due to Pseudomonas,Pneumonia
"Pneumonia, unspecified",Pneumonia
Popliteal artery aneurysm,Peripheral vascular disease
Post op infection,Sepsis and septic shock
Posterior reversible encephalo,"Encephalopathy, neuropathy, or seizures"
Postextubation stridor,Respiratory failure
Postoperative hemorrhage,Bleeding
Postoperative wound infection,Sepsis and septic shock
Postpartum hemorrhage,Bleeding
Pre-syncope,Congestive heart failure or other cardiac problem not due to acute ischemia
Pregnancy induced hypertension,Congestive heart failure or other cardiac problem not due to acute ischemia
Primary adenocarcinoma of lowe,Cancer
Primary malignant neoplasm of,Cancer
Primary vulvar cancer,Cancer
Proctocolitis,Sepsis and septic shock
Prolonged Q-T interval on ECG,Congestive heart failure or other cardiac problem not due to acute ischemia
Prostate cancer,Cancer
Prosthetic joint infection of,Sepsis and septic shock
Pseudoaneurysm,Peripheral vascular disease
Pseudocyst of pancreas,Hepatobiliary or abdominal
Psoas abscess,Sepsis and septic shock
Pulmonary emboli,Congestive heart failure or other cardiac problem not due to acute ischemia
Rapid atrial fibrillation,Congestive heart failure or other cardiac problem not due to acute ischemia
Rash,Unspecified / Other
Rectal bleeding,Bleeding
Rectal prolapse,Hepatobiliary or abdominal
Rectal ulceration,Bleeding
Rectovaginal fistula,Hepatobiliary or abdominal
Recurrent Clostridioides diffi,Sepsis and septic shock
Recurrent falls,Trauma
Recurrent spontaneous pneumoth,Respiratory failure
Renal colic,Renal failure or other metabolic problem
"Renal failure, acute on chroni",Renal failure or other metabolic problem
"Renal failure, chronic",Renal failure or other metabolic problem
"Renal hemorrhage, left",Renal failure or other metabolic problem
Renal infarct,Renal failure or other metabolic problem
Renal mass,Cancer
Required emergent intubation,Respiratory failure
Respiratory acidosis,Respiratory failure
Respiratory difficulty,Respiratory failure
"Respiratory failure, acute",Respiratory failure
"Respiratory failure, chronic",Respiratory failure
Respiratory symptoms,Respiratory failure
Retroperitoneal hemorrhage,Bleeding
Retroperitoneal infection,Sepsis and septic shock
Retropharyngeal abscess,Respiratory failure
Retropharyngeal and parapharyn,Respiratory failure
Rhinovirus infection,Pneumonia
Right facial swelling,Unspecified / Other
Right heart failure,Congestive heart failure or other cardiac problem not due to acute ischemia
Right leg weakness,Unspecified / Other
Right renal mass,Cancer
Right ventricular failure,Congestive heart failure or other cardiac problem not due to acute ischemia
Right-sided heart failure synd,Congestive heart failure or other cardiac problem not due to acute ischemia
Rupture of transverse colon,Hepatobiliary or abdominal
S/P TIPS (transjugular intrahe,Hepatobiliary or abdominal
S/P breast reconstruction,Cancer
S/P total colectomy,Hepatobiliary or abdominal
SDH (subdural hematoma),Ischemic and hemorrhagic stroke
SJS-TEN overlap syndrome,Overdose / substance abuse
Sacral osteomyelitis,Sepsis and septic shock
Sacral wound,Sepsis and septic shock
Saddle pulmonary embolus,Congestive heart failure or other cardiac problem not due to acute ischemia
Salmonella bacteremia,Sepsis and septic shock
Sarcoma,Cancer
Scrotum swelling,Congestive heart failure or other cardiac problem not due to acute ischemia
Sepsis due to Escherichia coli,Sepsis and septic shock
Sepsis due to gram-negative ba,Sepsis and septic shock
Sepsis due to urinary tract in,Sepsis and septic shock
Sepsis following intra-abdomin,Sepsis and septic shock
Sepsis secondary to UTI,Sepsis and septic shock
Septic prepatellar bursitis of,Sepsis and septic shock
Septic shock due to Escherichi,Sepsis and septic shock
Septic shock due to coagulase-,Sepsis and septic shock
Serotonin syndrome,Overdose / substance abuse
Severe alcohol withdrawal deli,Overdose / substance abuse
Severe pneumonia,Pneumonia
Severe sepsis with septic shoc,Sepsis and septic shock
Shock circulatory,Sepsis and septic shock
Sickle cell anemia,Unspecified / Other
"Sickle cell disease, with acut",Unspecified / Other
Sigmoid volvulus,Hepatobiliary or abdominal
Sinus arrest,Congestive heart failure or other cardiac problem not due to acute ischemia
Sinus node dysfunction,Congestive heart failure or other cardiac problem not due to acute ischemia
Sleep apnea,Respiratory failure
Spinal abscess,Sepsis and septic shock
"Spinal cord injury, cervical r",Trauma
Spleen capsular tear without m,Trauma
Splenic artery aneurysm,Peripheral vascular disease
Splenic cyst,Hepatobiliary or abdominal
Splenic hemorrhage,Bleeding
Spontaneous bacterial peritoni,Sepsis and septic shock
Squamous carcinoma of lung,Cancer
Squamous cell carcinoma lung,Cancer
Squamous cell carcinoma of rig,Cancer
Squamous cell lung cancer,Cancer
Staphylococcus epidermidis bac,Sepsis and septic shock
Status post Hartmann's procedu,Hepatobiliary or abdominal
Status post amputation,Peripheral vascular disease
Status post bilateral breast r,Unspecified / Other
Status post exploratory laparo,Hepatobiliary or abdominal
Status post right hemicolectom,Hepatobiliary or abdominal
Strep pharyngitis,Sepsis and septic shock
Streptococcus pneumoniae,Sepsis and septic shock
Stroke due to embolism of righ,Ischemic and hemorrhagic stroke
"Stroke, embolic",Ischemic and hemorrhagic stroke
Subcutaneous emphysema,Unspecified / Other
Submandibular abscess,Sepsis and septic shock
Substance intoxication,Overdose / substance abuse
Sudden cardiac arrest,Cardiac arrest
Suicide,Trauma
Superficial thrombosis of leg,Congestive heart failure or other cardiac problem not due to acute ischemia
Superior vena cava compression,Congestive heart failure or other cardiac problem not due to acute ischemia
Supraglottic edema,Respiratory failure
Supraglottitis with airway obs,Respiratory failure
Suprasellar mass,Cancer
Surgical wound infection,Sepsis and septic shock
Sustained VT (ventricular tach,Congestive heart failure or other cardiac problem not due to acute ischemia
Syncope and collapse,Congestive heart failure or other cardiac problem not due to acute ischemia
T1DM (type 1 diabetes mellitus,Renal failure or other metabolic problem
T2DM (type 2 diabetes mellitus,Renal failure or other metabolic problem
T3 spinal cord injury,Trauma
Tachycardia-bradycardia syndro,Congestive heart failure or other cardiac problem not due to acute ischemia
Third degree AV block,Congestive heart failure or other cardiac problem not due to acute ischemia
Third degree atrioventricular,Congestive heart failure or other cardiac problem not due to acute ischemia
Thoracic aortic aneurysm (TAA),Peripheral vascular disease
Thrombocytopenia,Unspecified / Other
Thyroid disease,Unspecified / Other
Thyroid mass,Cancer
Thyrotoxicosis,Unspecified / Other
Tongue edema,Respiratory failure
Tracheal stenosis,Respiratory failure
Transient loss of consciousnes,"Encephalopathy, neuropathy, or seizures"
Transverse myelitis,"Encephalopathy, neuropathy, or seizures"
Traumatic intracerebral hemorr,Trauma
Traumatic pneumothorax,Trauma
Trimalleolar fracture of left,Trauma
Tuberculosis,Pneumonia
Tylenol overdose,Overdose / substance abuse
Type 1 diabetes mellitus,Renal failure or other metabolic problem
Type 2 diabetes mellitus,Renal failure or other metabolic problem
Ulcerative colitis,Hepatobiliary or abdominal
"Umbilical hernia, incarcerated",Hepatobiliary or abdominal
Unicentric Castleman disease,Cancer
Uremia of renal origin,Renal failure or other metabolic problem
Ureteral tumor,Cancer
Uterine cancer,Cancer
Uterine prolapse,Hepatobiliary or abdominal
VTE (venous thromboembolism),Congestive heart failure or other cardiac problem not due to acute ischemia
Varicella encephalitis,"Encephalopathy, neuropathy, or seizures"
"Varices, esophageal",Bleeding
Vascular occlusion,Peripheral vascular disease
Vasculitis,Peripheral vascular disease
Vasoocclusive sickle cell cris,Unspecified / Other
Ventilator dependence,Respiratory failure
Ventricular tachyarrhythmia,Congestive heart failure or other cardiac problem not due to acute ischemia
"Ventricular tachycardia, inces",Congestive heart failure or other cardiac problem not due to acute ischemia
Vertebral artery narrowing,Unspecified / Other
Vocal cord dysfunction,Respiratory failure
Volvulus,Hepatobiliary or abdominal
Volvulus of colon,Hepatobiliary or abdominal
Vomiting,Hepatobiliary or abdominal
Weakness generalized,Unspecified / Other
Weakness of right upper extrem,Unspecified / Other
Wheezing,Unspecified / Other
Wound infection,Sepsis and septic shock
"Wound, surgical, infected",Sepsis and septic shock
